,Title,Release Year
77,True Grit,2010
78,Pearl Harbor,2001
79,Up in the Air,2009
80,Carrie,1976
81,Downfall,2004
82,The Choice,2016
83,Talladega Nights: The Ballad of Ricky Bobby,2006
84,We Need to Talk About Kevin,2011
85,The Glass Castle,2017
86,Hot Tub Time Machine,2010
87,The Handmaiden,2016
88,The Loft,2014
89,Overboard,1987
90,Fatal Attraction,1987
91,Hugo,2011
92,West Side Story,1961
93,District 9,2009
94,The Game,1997
95,Hichki,2018
96,Journey's End,2017
97,An American Werewolf in London,1981
98,Chaplin,1992
99,The Punisher,2004
100,The Great Escape,1963
101,November Criminals,2017
102,Aftermath,2017
103,Trouble Is My Business,2018
104,Killing Gunther,2017
105,Sleepless,2017
106,WarGames,1983
107,The Last Airbender,2010
108,Hackers,1995
109,Law Abiding Citizen,2009
110,Song to Song,2017
111,Amistad,1997
112,Holiday Inn,1942
113,The Do-Over,2016
114,Hellraiser,1987
115,Megan Leavey,2017
116,What's Eating Gilbert Grape,1993
117,Rain Man,1988
118,The Man Who Invented Christmas,2017
119,Friday the 13th,1980
120,Gattaca,1997
121,Chef,2014
122,The Infiltrator,2016
123,It's a Wonderful Life,1946
124,Killing Joan,2018
125,Blue Velvet,1986
126,Brad's Status,2017
127,The Kings of Summer,2013
128,Forever My Girl,2018
129,Red Dawn,1984
130,Clue,1985
131,G.I. Joe: The Rise of Cobra,2009
132,The Ghost Writer,2010
133,Rampage,2009
134,Some Like It Hot,1959
135,Side Effects,2013
136,Mission: Impossible III,2006
137,The Promise,2016
138,Paterson,2016
139,The Virgin Suicides,2000
140,Thelma & Louise,1991
141,The Magnificent Seven,1960
142,The Quiet Ones,2014
143,The Wall,2017
144,Odd Thomas,2013
145,Leaving Las Vegas,1995
146,The Ballad of Lefty Brown,2017
147,Triangle,2009
148,The Boy,2016
149,Birdland,2018
150,Philadelphia,1993
151,Major League,1989
152,Wish Upon,2017
153,Australia,2008
154,Flashdance,1983
155,Donnie Brasco,1997
156,Inside Llewyn Davis,2013
157,Rush Hour,1998
158,Silverado,1985
159,21,2008
160,The Way Back,2010
161,What If,2013
162,Coherence,2013
163,The Birdcage,1996
164,For a Few Dollars More,1965
165,The Ashram,2018
166,Knight of Cups,2015
167,Nacho Libre,2006
168,Chitty Chitty Bang Bang,1968
169,Two Night Stand,2014
170,The Only Living Boy in New York,2017
171,Some Kind of Wonderful,1987
172,The Man From Earth: Holocene,2017
173,Bomb City,2017
174,The Next Three Days,2010
175,The Dark Crystal,1982
176,Death at a Funeral,2007
177,Sahara,2005
178,Julie & Julia,2009
179,A Fistful of Dollars,1964
180,Midnight Cowboy,1969
181,The Secret Scripture,2016
182,Catch-22,1970
183,The Frozen Ground,2013
184,The Nut Job 2: Nutty by Nature,2017
185,Masters of the Universe,1987
186,The Score,2001
187,Sonu Ke Titu Ki Sweety,2018
188,The Collector,2009
189,The Firm,1993
190,The Burbs,1989
191,The Box,2009
192,Sophie's Choice,1982
193,Joe,2014
194,The Return of the Living Dead,1985
195,Dog Soldiers,2002
196,The Recall,2017
197,Bleed for This,2016
198,Salmon Fishing in the Yemen,2011
199,Ronin,1998
200,The Exception,2017
201,American Pastoral,2016
202,Precious: Based on the Novel Push by Sapphire,2009
203,Stuck in Love,2012
204,Charlotte's Web,2006
205,Cry-Baby,1990
206,Short Term 12,2013
207,Bloodsport,1988
208,Life of Crime,2013
209,Girlhouse,2014
210,Young Adult,2011
211,The Accused,1988
212,Indecent Proposal,1993
213,The Salesman,2016
214,Our Town,1940
215,Mystic Pizza,1988
216,Waiting...,2005
217,Memories of Murder,2003
218,M.F.A.,2017
219,Mythica: A Quest for Heroes,2014
220,Charade,1963
221,Private Parts,1997
222,Lars and the Real Girl,2007
223,Evils of the Night,1985
224,The Gunman,2015
225,High Spirits,1988
226,Most Beautiful Island,2017
227,Original Sin,2001
228,Bleeding Steel,2017
229,The Time Machine,2002
230,A Most Wanted Man,2014
231,Killers,2010
232,Mississippi Burning,1988
233,Ask Me Anything,2014
234,Moonstruck,1987
235,Teen Wolf,1985
236,How to Be a Latin Lover,2017
237,The Doors,1991
238,The 25th Reich,2012
239,The Conversation,1974
240,Left Behind,2014
241,The Rizen,2017
242,Bio-Dome,1996
243,The Woman in Black,2012
244,A Street Cat Named Bob,2016
245,Rush Hour 3,2007
