,Title,Release Year
142,Magic Mike,2012
143,Pocahontas,1995
144,The Hitchhiker's Guide to the Galaxy,2005
145,Revolutionary Road,2008
146,Beyond Skyline,2017
147,"Love, Rosie",2014
148,The King's Speech,2010
149,Coraline,2009
150,I Remember You,2017
151,The Autopsy of Jane Doe,2016
152,Wanted,2008
153,The Founder,2016
154,Pineapple Express,2008
155,Boyhood,2014
156,Billy Elliot,2000
157,The Waterboy,1998
158,The Book of Eli,2010
159,Olympus Has Fallen,2013
160,The Duchess,2008
161,Platoon,1986
162,Under the Skin,2014
163,The Humanity Bureau,2017
164,Empire Records,1995
165,Deliverance,1972
166,Green Room,2016
167,Swiss Army Man,2016
168,War Machine,2017
169,Logan's Run,1976
170,Monty Python's Life of Brian,1979
171,The Emperor's New Groove,2000
172,Carol,2015
173,John Carter,2012
174,In Search of Fellini,2017
175,The Master,2012
176,To the Bone,2017
177,Gran Torino,2008
178,"Lock, Stock and Two Smoking Barrels",1998
179,The Butterfly Effect,2004
180,Fracture,2007
181,Seven Pounds,2008
182,Nymphomaniac Vol II,2013
183,American Gangster,2007
184,Amateur,2018
185,Beautiful Creatures,2013
186,Locke,2014
187,Mary and the Witch's Flower,2017
188,Same Kind of Different as Me,2017
189,The Golden Compass,2007
190,Final Destination,2000
191,6 Days,2017
192,The Imaginarium of Doctor Parnassus,2009
193,Spy Kids,2001
194,The Aviator,2004
195,Wet Hot American Summer,2001
196,The Boy in the Striped Pajamas,2008
197,Gremlins,1984
198,National Treasure,2004
199,Road House,1989
200,The Village,2004
201,Train to Busan,2016
202,Y Tu Mamá También,2001
203,The Crow,1994
204,True To The Game,2017
205,Meet the Robinsons,2007
206,Incendies,2010
207,The Breadwinner,2017
208,The Do-Over,2016
209,Dismissed,2017
210,The Fast and the Furious: Tokyo Drift,2006
211,I Don't Feel at Home in This World Anymore,2017
212,Rain Man,1988
213,Caddyshack,1980
214,Kickboxer: Retaliation,2018
215,50/50,2011
216,Tarzan,1999
217,As Good as It Gets,1997
218,The Graduate,1967
219,Megamind,2010
220,Irreplaceable You,2018
221,Before I Wake,2016
222,Gone Baby Gone,2007
223,The Case for Christ,2017
224,Blue Jasmine,2013
225,On Body and Soul,2017
226,American Honey,2016
227,Movie 43,2013
228,Dr. Seuss' The Cat in the Hat,2003
229,Sleeping With Other People,2015
230,The Brothers Grimm,2005
231,Monster Family,2017
232,The Vault,2017
233,Queen of the Desert,2015
234,Spectral,2016
235,Birthmarked,2018
236,Sweeney Todd,2007
237,Fear and Loathing in Las Vegas,1998
238,The Spectacular Now,2013
239,Zack and Miri Make a Porno,2008
240,Naked,2017
241,Black Butterfly,2017
242,The Da Vinci Code,2006
243,Sand Castle,2017
244,Howards End,1992
245,Burn After Reading,2008
246,Angels & Demons,2009
247,Personal Shopper,2016
248,The Dukes of Hazzard,2005
249,Super Dark Times,2017
250,The Fighter,2010
251,Never Back Down,2008
252,The Promise,2016
253,Would You Rather,2012
254,Austin Powers in Goldmember,2002
255,Kill the Irishman,2011
256,Cult of Chucky,2017
257,9 1/2 Weeks,1986
258,Suite Française,2014
259,Casper,1995
260,Transcendence,2014
261,Stuart Little,1999
262,Bee Movie,2007
263,The Discovery,2017
264,Layer Cake,2004
265,The Bye Bye Man,2017
266,Tusk,2014
267,Scary Movie 2,2001
268,Poltergeist,1982
269,Babel,2006
270,Creep,2014
271,Philadelphia,1993
272,Meet Joe Black,1998
273,Get Smart,2008
274,Tears of the Sun,2003
275,You Get Me,2017
276,Hardcore Henry,2015
277,Network,1976
278,Legend of the Naga Pearls,2017
279,Winter's Bone,2010
280,Equilibrium,2002
281,Observe and Report,2009
282,The Ugly Truth,2009
283,A Cinderella Story,2004
284,A Serious Man,2009
285,Evan Almighty,2007
286,The Texas Chainsaw Massacre,2003
287,Tucker & Dale vs. Evil,2010
288,Step Sisters,2018
289,42,2013
290,P.S. I Love You,2007
291,Love Per Square Foot,2018
292,Wakefield,2017
293,Scream 4,2011
294,My Week with Marilyn,2011
295,One Day,2011
296,About a Boy,2002
297,Steel Rain,2017
298,Una,2017
299,Cloudy with a Chance of Meatballs,2009
300,The Cell,2000
301,"10,000 B.C.",2008
302,The Bachelors,2017
303,The Sisterhood of the Traveling Pants,2005
304,Cabin Fever,2016
305,Bedtime Stories,2008
306,Lord of War,2005
307,Message from the King,2017
308,The Spiderwick Chronicles,2008
309,Gosford Park,2001
310,OtherLife,2017
311,First They Killed My Father,2017
312,Race to Witch Mountain,2009
313,Berlin Syndrome,2017
314,Amar,2017
315,A Most Violent Year,2014
316,Bridget Jones's Baby,2016
317,20th Century Women,2016
318,Birdshot,2017
319,Little Evil,2017
320,Spy Kids: Game Over,2003
321,How the Grinch Stole Christmas,2000
322,Bolt,2008
323,A Silent Voice,2016
324,The Dark Crystal,1982
325,Beasts of No Nation,2015
326,Creep 2,2017
327,A Separation,2011
328,Zookeeper,2011
329,The Final Destination,2009
330,Julie & Julia,2009
331,Frances Ha,2013
332,The Bar,2017
333,Righteous Kill,2008
334,Forgotten,2017
335,The Hundred-Foot Journey,2014
336,2 Fast 2 Furious,2003
337,Ghost Ship,2002
338,Mona Lisa Smile,2003
339,Saving Mr. Banks,2013
340,Copycat,1995
341,Always,1989
342,Miracle,2004
343,"Crouching Tiger, Hidden Dragon",2000
344,Daddy Day Care,2003
345,The Beyond,2017
346,Dark Places,2015
347,The Box,2009
348,Wheelman,2017
349,Our Souls at Night,2017
350,Colonia,2016
351,Taare Zameen Par,2007
352,Evolution,2001
353,Sandy Wexler,2017
354,"Angus, Thongs and Perfect Snogging",2008
355,Harry and the Hendersons,1987
356,Milk,2008
357,A Sort of Family,2017
358,Bushwick,2017
359,The Clapper,2018
360,Layla M.,2016
361,Free State of Jones,2016
362,Rampage: President Down,2016
363,The Dinner,2017
364,Only God Forgives,2013
365,Hereafter,2010
366,Kung Fu Hustle,2004
367,Madagascar: Escape 2 Africa,2008
368,Mean Streets,1973
